,title,Critic Score,Audience_Score,Genre,director,studio
51,STAR WARS: EPISODE VII - THE FORCE AWAKENS,93,87,Action & Adventure,J.J. Abrams,Walt Disney Pictures
52,BABY DRIVER,93,86,Action & Adventure,Michael Curtiz,Warner Bros.
53,ZOOTOPIA,97,92,Action & Adventure,Byron Howard,Walt Disney Animation Studios
54,SEVEN SAMURAI (SHICHININ NO SAMURAI),100,97,Action & Adventure,Byron Howard,Walt Disney Animation Studios
55,UP,98,90,Action & Adventure,Byron Howard,Walt Disney Animation Studios
56,THE JUNGLE BOOK,95,86,Action & Adventure,Jon Favreau,Walt Disney Pictures
57,LAWRENCE OF ARABIA,98,93,Drama,David Lean,Columbia Pictures
58,WAR FOR THE PLANET OF THE APES,93,84,Drama,Matt Reeves,20th Century Fox
59,SPIDER-MAN: HOMECOMING,92,88,Drama,Jon Watts,Sony Pictures
60,CAPTAIN AMERICA: CIVIL WAR,91,89,Action & Adventure,Anthony Russo,Walt Disney Pictures
61,MOANA,96,89,Action & Adventure,Ron Clements,Walt Disney Pictures
62,ALIENS,99,94,Action & Adventure,James Cameron,20th Century Fox Film Corporat
63,THE LEGO MOVIE,96,87,Action & Adventure,Phil Lord,Warner Bros. Pictures
64,WALL-E,96,89,Action & Adventure,Andrew Stanton,Walt Disney Pictures
65,STAR WARS: EPISODE IV - A NEW HOPE,93,96,Drama,George Lucas,20th Century Fox
66,KUBO AND THE TWO STRINGS,97,86,Action & Adventure,Travis Knight (II),Focus Features
67,MISSION: IMPOSSIBLE ROGUE NATION,93,87,Action & Adventure,Christopher McQuarrie,Paramount Pictures
68,THE AFRICAN QUEEN,98,86,Action & Adventure,Christopher McQuarrie,Paramount Pictures
69,MARVEL'S THE AVENGERS,92,91,Action & Adventure,Joss Whedon,Walt Disney Pictures
70,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,95,97,Drama,Irvin Kershner,Twentieth Century Fox
71,THE FRENCH CONNECTION,98,87,Drama,William Friedkin,20th Century Fox
72,HUNT FOR THE WILDERPEOPLE,97,91,Action & Adventure,Taika Waititi,Piki Films
73,IRON MAN,93,91,Action & Adventure,Jon Favreau,Paramount Pictures
74,ALL IS LOST 2013,94,63,Mystery & Suspense,J.C. Chandor,Lionsgate/Roadside Attractions
75,ASSAULT ON PRECINCT 13 1976,98,80,Drama,John Carpenter,Turtle Releasing
76,NO COUNTRY FOR OLD MEN 2007,93,86,Drama,Joel Coen,Miramax Films
77,THE LORD OF THE RINGS: THE TWO TOWERS 2002,95,95,Drama,Peter Jackson,New Line Cinema
78,LOOPER 2012,93,82,Action & Adventure,Rian Johnson,Sony Pictures
79,THE RIGHT STUFF 1983,98,90,Action & Adventure,Rian Johnson,Sony Pictures
80,THE FUGITIVE 1993,96,89,Drama,Andrew Davis,Warner Bros. Pictures
81,"CROUCHING TIGER, HIDDEN DRAGON 2001",97,86,Drama,Ang Lee,Sony Pictures Classics
82,WHO FRAMED ROGER RABBIT 1988,97,84,Action & Adventure,Robert Zemeckis,Buena Vista Distribution Compa
83,MAD MAX 2: THE ROAD WARRIOR 1982,98,85,Action & Adventure,George Miller,Warner Bros. Pictures
84,DIVA 1981,98,86,Drama,Jean-Jacques Beineix,Rialto Pictures
85,ONE FALSE MOVE 1992,98,75,Drama,Carl Franklin,Sony Pictures Home Entertainment
86,CATCH ME IF YOU CAN,96,89,Drama,Steven Spielberg,DreamWorks SKG
87,SICARIO,92,85,Drama,Denis Villeneuve,Lionsgate
88,IN THE LINE OF FIRE,96,79,Mystery & Suspense,Wolfgang Petersen,Sony Pictures Home Entertainment
89,DR. NO,96,82,Action & Adventure,Terence Young,United Artists
90,RAIDERS OF THE LOST ARK,95,96,Action & Adventure,Terence Young,United Artists
91,X-MEN: DAYS OF FUTURE PAST,89,91,Action & Adventure,Bryan Singer,20th Century Fox
92,FROM RUSSIA WITH LOVE,96,83,Action & Adventure,Terence Young,United Artists
93,APOLLO 13,95,87,Drama,Ron Howard,Universal Pictures
94,SUPERMAN,94,86,Drama,Ron Howard,Universal Pictures
95,EMBRACE OF THE SERPENT (EL ABRAZO DE LA SERPIENTE),96,84,Art House & International,Ciro Guerra,Buffalo Films
96,THE LORD OF THE RINGS: THE RETURN OF THE KING,93,86,Action & Adventure,Peter Jackson,New Line Cinema
97,CLOSE ENCOUNTERS OF THE THIRD KIND,95,85,Action & Adventure,Peter Jackson,New Line Cinema
98,WALLACE & GROMIT: THE CURSE OF THE WERE-RABBIT,95,79,Action & Adventure,Steve Box,Dreamworks
99,THE KILLER,98,92,Drama,John Woo,Kino
100,THE BOURNE ULTIMATUM,92,91,Drama,Paul Greengrass,Universal Pictures
101,THE WILD BUNCH,94,91,Western,Sam Peckinpah,Warner Bros. Pictures
102,THE SEVENTH SEAL (DET SJUNDE INSEGLET),93,93,Drama,Ingmar Bergman,Janus Films
103,SPIDER-MAN 2,93,82,Action & Adventure,Sam Raimi,Sony Pictures
104,HERO,95,87,Drama,Yimou Zhang,Miramax Films
105,ENTER THE DRAGON,96,92,Drama,Robert Clouse,Warner Home Video
106,DRIVE,92,79,Drama,Nicolas Winding Refn,FilmDistrict
107,INSIDE OUT,98,89,Animation,Pete Docter,Disney/Pixar
108,SNOW WHITE AND THE SEVEN DWARFS,98,78,Animation,David Hand,Walt Disney Pictures
109,TOY STORY 3,99,89,Animation,Lee Unkrich,Walt Disney Pictures
110,TOY STORY 2,100,86,Animation,John Lasseter,Buena Vista Pictures
112,UP,98,90,Action & Adventure,Pete Docter,Walt Disney Pictures
113,FINDING NEMO,99,86,Animation,Andrew Stanton,Walt Disney Pictures
114,PINOCCHIO,100,72,Animation,Hamilton Luske,RKO
115,FINDING DORY,94,84,Animation,Andrew Stanton,Walt Disney Pictures/PIXAR
118,TOY STORY,100,92,Animation,John Lasseter,Buena Vista
120,SHAUN THE SHEEP MOVIE,99,80,Comedy,Mark Burton,Lionsgate
122,RATATOUILLE,96,87,Animation,Jan Pinkava,Disney/Pixar
123,ONLY YESTERDAY,100,86,Drama,Isao Takahata,GKIDS
124,HOW TO TRAIN YOUR DRAGON,98,91,Animation,Dean DeBlois,Paramount/DWA
125,THE INCREDIBLES,97,75,Animation,Brad Bird,Buena Vista Pictures
126,YELLOW SUBMARINE,97,84,Action & Adventure,George Dunning,Independent Pictures
127,CHICKEN RUN,97,64,Drama,Peter Lord,Dreamworks Pictures
128,BEAUTY AND THE BEAST,94,92,Animation,Gary Trousdale,Buena Vista
129,MY LIFE AS A ZUCCHINI (MA VIE DE COURGETTE),98,87,Animation,Claude Barras,Rita Productions
130,101 DALMATIANS,98,75,Animation,Clyde Geronimi,Buena Vista
131,THE NIGHTMARE BEFORE CHRISTMAS,95,91,Animation,Henry Selick,Touchstone Pictures
132,FANTASIA,96,83,Animation,James Algar,Walt Disney Productions
133,"MONSTERS, INC.",96,90,Animation,Pete Docter,Buena Vista Distribution Compa
134,THE LEGO BATMAN MOVIE,90,80,Action & Adventure,Chris McKay,Warner Bros. Pictures
135,THE IRON GIANT,96,90,Animation,Brad Bird,Warner Bros. Pictures
136,SONG OF THE SEA,99,92,Animation,Tomm Moore,GKIDS
137,TOWER,99,89,Animation,Tomm Moore,GKIDS
138,WHO FRAMED ROGER RABBIT,97,84,Animation,Tomm Moore,GKIDS
139,THE LION KING,93,93,Drama,Roger Allers,Buena Vista
140,ANOMALISA,92,70,Drama,Charlie Kaufman,Starburns Industries
141,YOUR NAME. (KIMI NO NA WA.),97,94,Drama,Makoto Shinkai,FUNimation Films
142,WALTZ WITH BASHIR,96,90,Documentary,Ari Folman,Sony Pictures Classics
143,PERSEPOLIS,96,92,Drama,Marjane Satrapi,Sony Pictures Classics
145,THE RED TURTLE (LA TORTUE ROUGE),94,80,Action & Adventure,Steve Box,Dreamworks
146,THE SECRET WORLD OF ARRIETTY,95,85,Animation,Hiromasa Yonebayashi,Walt Disney Pictures
147,ALADDIN,94,92,Action & Adventure,John Musker,Buena Vista Distribution Compa
148,ERNEST & CÉLESTINE,97,88,Action & Adventure,John Musker,Buena Vista Distribution Compa
149,FANTASTIC MR. FOX,92,85,Action & Adventure,John Musker,Buena Vista Distribution Compa
150,ANTZ,94,52,Animation,Eric Darnell,Dreamworks
151,FROZEN,90,85,Animation,Jennifer Lee,Walt Disney Pictures
152,GHOST IN THE SHELL,96,89,Animation,Mamoru Oshii,Palm Pictures
153,CORALINE,90,73,Action & Adventure,Henry Selick,Focus Features
154,LADY AND THE TRAMP,93,80,Drama,Hamilton Luske,Buena Vista Pictures
155,BAMBI,90,73,Animation,David Hand,RKO Radio Pictures
156,HOW TO TRAIN YOUR DRAGON 2,91,89,Action & Adventure,Dean DeBlois,20th Century Fox
157,PRINCESS MONONOKE (MONONOKE-HIME),93,94,Action & Adventure,Dean DeBlois,20th Century Fox
158,BIG HERO 6,89,91,Animation,Chris Williams (IX),Walt Disney Pictures
159,THE LITTLE MERMAID,92,88,Animation,John Musker,Walt Disney Pictures
160,A BUG'S LIFE,92,72,Animation,John Lasseter,Buena Vista Pictures
161,ARTHUR CHRISTMAS,92,76,Animation,Sarah Smith,Sony Pictures
162,BOY AND THE WORLD (O MENINO E O MUNDO),95,77,Art House & International,Alê Abreu,GKIDS
163,MARY AND MAX,95,92,Drama,Adam Elliot,IFC Films
164,JAMES AND THE GIANT PEACH,92,65,Animation,Henry Selick,Buena Vista Pictures
165,PONYO,91,83,Action & Adventure,Hayao Miyazaki,Walt Disney Pictures
166,BOLT,89,73,Action & Adventure,Byron Howard,Walt Disney Pictures
167,TANGLED,89,87,Animation,Nathan Greno,Walt Disney Pictures
168,THE SIMPSONS MOVIE,88,77,Comedy,David Silverman,20th Century Fox
169,SHREK,88,90,Animation,Vicky Jenson,Dreamworks
170,SHREK 2,88,69,Animation,Conrad Vernon,DreamWorks SKG
171,THE WIND RISES,88,85,Drama,Hayao Miyazaki,Walt Disney Pictures
172,FRANKENWEENIE,87,70,Horror,Tim Burton,Walt Disney Pictures
173,WINNIE THE POOH,91,80,Animation,Stephen J. Anderson,Walt Disney Pictures
174,WHEN MARNIE WAS THERE,91,88,Drama,Hiromasa Yonebayashi,GKIDS
175,THE PEANUTS MOVIE,87,76,Animation,Steve Martino,20th Century Fox
176,KUNG FU PANDA,87,82,Action & Adventure,John Stevenson,Paramount Pictures
177,THE ILLUSIONIST (L'ILLUSIONNISTE),90,79,Drama,Sylvain Chomet,Sony Pictures Classics
178,RANGO,87,69,Action & Adventure,Gore Verbinski,Paramount Pictures
179,AKIRA,87,90,Drama,Katsuhiro Ôtomo,Streamline Pictures
180,TIM BURTON'S CORPSE BRIDE,84,77,Action & Adventure,Tim Burton,Warner Bros. Pictures
181,SAUSAGE PARTY,82,50,Comedy,Conrad Vernon,Sony Pictures
182,MULAN,86,85,Action & Adventure,Barry Cook,Buena Vista
183,LILO & STITCH,86,77,Action & Adventure,Dean DeBlois,Buena Vista Distribution Compa
184,THE EMPEROR'S NEW GROOVE,85,83,Animation,Mark Dindal,Buena Vista Pictures
185,CHICO & RITA,87,77,Drama,Tono Errando,GKIDS
186,PUSS IN BOOTS,84,67,Action & Adventure,Chris Miller,Paramount/Dreamworks
187,ANASTASIA,85,77,Drama,Don Bluth,20th Century Fox
188,BRAVE,79,76,Animation,Brenda Chapman,Walt Disney Pictures
189,GET OUT,99,86,Horror,Jordan Peele,Universal Pictures
190,ALL ABOUT EVE,100,94,Horror,Jordan Peele,Universal Pictures
191,IT HAPPENED ONE NIGHT,98,93,Horror,Jordan Peele,Universal Pictures
192,MODERN TIMES,100,95,Horror,Jordan Peele,Universal Pictures
193,SINGIN' IN THE RAIN,100,95,Romance,Stanley Donen,MGM
194,THE BIG SICK,98,88,Comedy,Michael Showalter,Amazon Studios
195,A HARD DAY'S NIGHT,98,89,Comedy,Michael Showalter,Amazon Studios
197,THE PHILADELPHIA STORY,100,93,Animation,Lee Unkrich,Walt Disney Pictures
198,TOY STORY 2,100,86,Animation,Lee Unkrich,Walt Disney Pictures
199,ZOOTOPIA,97,92,Animation,Lee Unkrich,Walt Disney Pictures
200,LA LA LAND,91,81,Drama,Damien Chazelle,Liongate Films
202,DR. STRANGELOVE OR HOW I LEARNED TO STOP WORRYING AND LOVE THE BOMB,99,94,Action & Adventure,Pete Docter,Walt Disney Pictures
205,TOY STORY,100,92,Action & Adventure,Phil Lord,Warner Bros. Pictures
206,COOL HAND LUKE,100,95,Action & Adventure,Phil Lord,Warner Bros. Pictures
207,MONTY PYTHON AND THE HOLY GRAIL,97,95,Action & Adventure,Phil Lord,Warner Bros. Pictures
208,PATERSON,96,71,Action & Adventure,Phil Lord,Warner Bros. Pictures
209,BEFORE MIDNIGHT,98,82,Drama,Richard Linklater,Drafthouse Recommends
210,THE GOLD RUSH,100,93,Classics,Charles Chaplin,Janus Films
211,IT'S A WONDERFUL LIFE,94,95,Classics,Charles Chaplin,Janus Films
213,LA DOLCE VITA,97,90,Comedy,Mark Burton,Lionsgate
214,TO BE OR NOT TO BE,98,93,Comedy,Mark Burton,Lionsgate
215,PLAYTIME,100,89,Art House & International,Jacques Tati,Continental Distributing
216,ANNIE HALL,97,92,Comedy,Woody Allen,United Artists
217,LOVE & FRIENDSHIP,97,60,Comedy,Woody Allen,United Artists
218,MARY POPPINS,100,86,Comedy,Woody Allen,United Artists
219,THE RULES OF THE GAME (LA RÈGLE DU JEU),98,90,Drama,Jean Renoir,Kino International
220,RATATOUILLE,96,87,Drama,Jean Renoir,Kino International
221,HIS GIRL FRIDAY,98,90,Drama,Jean Renoir,Kino International
222,THE ARTIST,95,87,Drama,Jean Renoir,Kino International
224,TAMPOPO,100,93,Art House & International,Juzo Itami,Itami Productions
225,GENTLEMEN PREFER BLONDES,98,83,Romance,Howard Hawks,20th Century Fox
228,8 1/2,98,92,Drama,Federico Fellini,Cinerez
229,THE NICE GUYS,92,79,Drama,Federico Fellini,Cinerez
230,PADDINGTON,98,80,Comedy,Paul King (VII),The Weinstein Company
232,SPY,94,79,Comedy,Paul Feig,20th Century Fox
233,LOGAN LUCKY,92,75,Comedy,Steven Soderbergh,Fingerprint Releasing / Bleecker Street
235,AIRPLANE!,97,89,Animation,Clyde Geronimi,Buena Vista
236,THE PLAYER,98,84,Drama,Robert Altman,Fine Line Features
237,THE PRINCESS BRIDE,97,94,Action & Adventure,Rob Reiner,20th Century Fox
238,GHOSTBUSTERS (1984 ORIGINAL),97,88,Action & Adventure,Ivan Reitman,Columbia Pictures
239,SOME LIKE IT HOT,96,94,Action & Adventure,Ivan Reitman,Columbia Pictures
240,DUCK SOUP,94,91,Classics,Leo McCarey,Paramount Pictures
241,BIG,97,82,Classics,Leo McCarey,Paramount Pictures
242,BRINGING UP BABY,95,90,Romance,Howard Hawks,Turner Home Entertainment
243,DON'T THINK TWICE,98,69,Comedy,Mike Birbiglia,The Film Arcade
244,"MONSTERS, INC.",96,90,Comedy,Mike Birbiglia,The Film Arcade
245,MONTY PYTHON'S LIFE OF BRIAN,97,93,Comedy,Terry Jones,Warner Bros. Pictures
246,BEFORE SUNRISE,100,93,Drama,Richard Linklater,Sony Pictures Home Entertainment
247,THE APARTMENT,94,94,Drama,Billy Wilder,United Artists
248,BACK TO THE FUTURE,96,94,Action & Adventure,Robert Zemeckis,Universal Pictures
249,THE LEGO BATMAN MOVIE,90,80,Action & Adventure,Robert Zemeckis,Universal Pictures
250,THE GRAND BUDAPEST HOTEL,91,86,Drama,Wes Anderson,Fox Searchlight
251,GROUNDHOG DAY,96,88,Drama,Wes Anderson,Fox Searchlight
252,SIDEWAYS,96,78,Drama,Alexander Payne,Fox Searchlight Pictures
253,TANGERINE,97,76,Drama,Alexander Payne,Fox Searchlight Pictures
254,THE EDGE OF SEVENTEEN,95,83,Drama,Kelly Fremon Craig,STX Entertainment
255,WHAT WE DO IN THE SHADOWS,96,86,Drama,Taika Waititi,Paladin Pictures
256,BULL DURHAM,97,82,Drama,Ron Shelton,Orion Pictures
257,WHO FRAMED ROGER RABBIT,97,84,Drama,Ron Shelton,Orion Pictures
258,MOONRISE KINGDOM,93,86,Comedy,Wes Anderson,Focus Features
259,SENSE AND SENSIBILITY,98,90,Drama,Ang Lee,Columbia Pictures
260,ENOUGH SAID,95,75,Drama,Nicole Holofcener,s
262,LOST IN TRANSLATION,95,85,Drama,Sofia Coppola,Focus Features
263,BRAZIL,98,90,Drama,Terry Gilliam,Universal Pictures
264,BROADCAST NEWS,98,78,Drama,James L. Brooks,Twentieth Century Fox Home Entertainment
