,title,imdb_user_rating,imdb_critic_rating,Rot_Critic Score,Rot_Audience_Score,budget,grossUSA
194,Before Sunrise (1995),81.0,77,100,92,nan,5535405
195,Back to the Future (1985),85.0,87,100,95,19000000 ,210609762
196,The Grand Budapest Hotel (2014),81.0,88,97,95,25000000 ,59100318
197,Groundhog Day (1993),80.0,72,96,71,nan,70906973
198,Sideways (2004),75.0,94,98,82,12000000 ,71503593
199,Tangerine (2015),71.0,85,100,93,100000 ,701837
200,The Edge of Seventeen (2016),74.0,77,94,95,9000000 ,14260193
201,What We Do in the Shadows (2014),76.0,76,97,90,1600000 ,3333000
202,Bull Durham (1988),71.0,73,98,93,7000000 ,50888729
203,Moonrise Kingdom (2012),78.0,84,100,89,16000000 ,45512466
204,Sense and Sensibility (1995),77.0,84,97,92,nan,43182776
205,Enough Said (2013),70.0,78,97,60,8000000 ,17536788
206,Lost in Translation (2003),78.0,89,100,86,4000000 ,44585453
207,Brazil (1985),80.0,88,98,90,nan,9929135
208,Broadcast News (1987),72.0,84,96,87,nan,51249404
209,The Band's Visit (2007),76.0,80,98,90,nan,3053823
210,The Muppets (2011),71.0,75,95,87,45000000 ,88631237
211,The Wizard of Oz (1939),80.0,100,100,93,2800000 ,22202612
212,Citizen Kane (1941),84.0,100,98,83,839727 ,1585634
213,The Third Man (1949),82.0,97,98,92,nan,449191
214,The Cabinet of Dr. Caligari (1920),81.0,81,92,79,nan,nan
215,Metropolis (1927),83.0,98,98,80,DEM 6000000 ,1236166
216,Casablanca (1942),85.0,100,94,79,950000 ,1024560
217,Psycho (1960),85.0,97,92,75,nan,32000000
218,Nosferatu (1922),80.0,80,97,89,nan,nan
219,King Kong (2005),72.0,81,98,84,nan,nan
220,The Adventures of Robin Hood (1938),80.0,97,97,94,nan,3981000
221,North by Northwest (1959),83.0,98,97,88,nan,13275000
222,Sunset Boulevard (1950),84.0,84,96,94,nan,5123000
223,Rear Window (1954),85.0,100,94,91,nan,36764313
224,Touch of Evil (1958),81.0,99,97,82,nan,2237659
225,A Streetcar Named Desire (1951),80.0,96,95,90,nan,8000000
226,Vertigo (1958),83.0,100,98,69,nan,3200000
227,Rosemary's Baby (1968),80.0,96,96,90,nan,33395426
228,Rebecca (1940),81.0,81,97,93,nan,4360000
229,Frankenstein (2011),90.0,90,100,93,nan,nan
230,On the Waterfront (1954),82.0,88,94,94,910000 ,9600000
231,The Grapes of Wrath (1940),81.0,95,96,94,nan,55000
232,Roman Holiday (1953),81.0,76,90,80,nan,5000000
233,The Last Picture Show (1971),81.0,93,91,86,nan,29133000
234,Chinatown (1974),82.0,92,96,88,nan,29200000
235,Rio Bravo (1959),80.0,80,96,78,nan,nan
236,Sweet Smell of Success (1957),82.0,100,97,76,nan,nan
237,Invasion of the Body Snatchers (1978),74.0,75,95,83,3500000 ,24946533
238,Moonlight (2016),74.0,99,96,86,1500000 ,27850912
239,Spotlight (2015),81.0,93,97,82,20000000 ,45055776
240,Selma (2014),75.0,89,97,84,20000000 ,52076908
241,The Godfather (1972),92.0,100,93,86,6000000 ,134966411
242,Boyhood (2014),79.0,100,98,90,4000000 ,25379975
243,The Battle of Algiers (1966),81.0,95,95,75,nan,55908
244,Arrival (2016),79.0,81,95,85,47000000 ,100546139
245,12 Years a Slave (2013),81.0,96,98,90,20000000 ,56671993
246,Argo (2012),77.0,86,98,78,44500000 ,136025503
247,Gravity (2013),77.0,96,98,86,100000000 ,274092705
248,Alien (1979),85.0,83,95,80,11000000 ,78900000
249,Bicycle Thieves (1948),83.0,83,98,89,nan,36818
250,Taxi Driver (1976),83.0,94,100,90,nan,28262574
251,Manchester by the Sea (2016),78.0,96,99,93,8500000 ,47695120
252,M (1931),84.0,84,100,89,nan,35566
253,The Treasure of the Sierra Madre (1948),83.0,99,100,94,nan,5014000
254,Hell or High Water (2016),76.0,88,99,92,12000000 ,26862450
255,Army of Shadows (1969),82.0,99,98,93,nan,741766
256,The Night of the Hunter (1955),80.0,99,100,95,795000 ,Budget795000
257,Brooklyn (2015),75.0,87,97,95,11000000 ,38317535
258,The Babadook (2014),68.0,86,100,90,2000000 ,924279
259,The Conformist (1970),81.0,100,97,92,nan,nan
260,The Dark Knight (2008),90.0,84,97,94,185000000 ,534858444
261,The Wrestler (2008),79.0,81,98,89,6000000 ,26236603
262,L.A. Confidential (1997),83.0,90,97,87,35000000 ,64616940
